# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    555   5.550000000  -0.800327466  -0.537431023
    556   5.560000000  -0.805701777  -0.420106006
    557   5.570000000  -0.809902837  -0.302170697
    558   5.580000000  -0.812924544  -0.183760698
    559   5.590000000  -0.814762151  -0.065010559
    560   5.600000000  -0.815412256   0.053945901
    561   5.610000000  -0.814872797   0.172975256
    562   5.620000000  -0.813143045   0.291944126
    563   5.630000000  -0.810223603   0.410718818
    564   5.640000000  -0.806116415   0.529164976
    565   5.650000000  -0.800824765   0.647147229
    566   5.660000000  -0.794353293   0.764528860
    567   5.670000000  -0.786708004   0.881171489
    568   5.680000000  -0.777896290   0.996934782
    569   5.690000000  -0.767926942   1.111676189
    570   5.700000000  -0.756810180   1.225250724
    571   5.710000000  -0.744557673   1.337510780
    572   5.720000000  -0.731182565   1.448305999
    573   5.730000000  -0.716699505   1.557483187
    574   5.740000000  -0.701124673   1.664886296
    575   5.750000000  -0.684475810   1.770356464
    576   5.760000000  -0.666772245   1.873732115
    577   5.770000000  -0.648034924   1.974849144
    578   5.780000000  -0.628286433   2.073541156
    579   5.790000000  -0.607551021   2.169639799
    580   5.800000000  -0.585854623   2.262975155
    581   5.810000000  -0.563224872   2.353376216
    582   5.820000000  -0.539691109   2.440671437
    583   5.830000000  -0.515284395   2.524689350
    584   5.840000000  -0.490037502   2.605259262
    585   5.850000000  -0.463984909   2.682212004
    586   5.860000000  -0.437162789   2.755380750
    587   5.870000000  -0.409608981   2.824601873
    588   5.880000000  -0.381362963   2.889715860
    589   5.890000000  -0.352465804   2.950568248
    590   5.900000000  -0.322960122   3.007010585
    591   5.910000000  -0.292890016   3.058901403
    592   5.920000000  -0.262301002   3.106107183
    593   5.930000000  -0.231239930   3.148503310
    594   5.940000000  -0.199754897   3.185974997
    595   5.950000000  -0.167895147   3.218418156
    596   5.960000000  -0.135710965   3.245740226
    597   5.970000000  -0.103253563   3.267860922
    598   5.980000000  -0.070574954   3.284712898
    599   5.990000000  -0.037727825   3.296242326
    600   6.000000000  -0.004765402   3.302409363
    601   6.010000000   0.028258692   3.303188503
    602   6.020000000   0.061290577   3.298568822
    603   6.030000000   0.094276265   3.288554085
    604   6.040000000   0.127161806   3.273162739
    605   6.050000000   0.159893433   3.252427771
    606   6.060000000   0.192417711   3.226396445
    607   6.070000000   0.224681676   3.195129924
    608   6.080000000   0.256632975   3.158702770
    609   6.090000000   0.288220003   3.117202343
    610   6.100000000   0.319392026   3.070728105
    611   6.110000000   0.350099307   3.019390840
    612   6.120000000   0.380293215   2.963311796
    613   6.130000000   0.409926333   2.902621781
    614   6.140000000   0.438952551   2.837460203
    615   6.150000000   0.467327153   2.767974084
    616   6.160000000   0.495006894   2.694317065
    617   6.170000000   0.521950065   2.616648398
    618   6.180000000   0.548116549   2.535131959
    619   6.190000000   0.573467868   2.449935278
    620   6.200000000   0.597967221   2.361228615
    621   6.210000000   0.621579507   2.269184069
    622   6.220000000   0.644271348   2.173974755
    623   6.230000000   0.666011096   2.075774037
    624   6.240000000   0.686768836   1.974754832
