Ket qua tinh toan he phuong trinh sau 999 lan lap:

####################################################################################################

    i             F1              F2              f5              F3              f2              f3              f1              f4               sai_so
  123-36028797018963968.000000000 268749174506398973602868416741376.000000000 -268749174506398973602868416741376.000000000 -658298346334870608158721254096896.000000000 465487224737277450815905697103872.000000000 10000.000000000 930974449474554901631811394207744.000000000 -806247523519196884779808231260160.000000000         2.543469e+33
  124   -0.000000000 -465487224737277450815905697103872.000000000 465487224737277450815905697103872.000000000 1140206182390569057093411055599616.000000000 -806247523519196884779808231260160.000000000 10000.000000000 -1612495047038393769559616462520320.000000000 1396461674211832136274934977527808.000000000         4.405418e+33
  125   -0.000000000 806247523519196884779808231260160.000000000 -806247523519196884779808231260160.000000000 -1974895039004611392130599534723072.000000000 1396461674211832136274934977527808.000000000 10000.000000000 2792923348423664272549869955055616.000000000 -2418742570557590221993860466212864.000000000         7.630408e+33
  126   -0.000000000 -1396461674211832136274934977527808.000000000 1396461674211832136274934977527808.000000000 3420618547171706738934668939231232.000000000 -2418742570557590221993860466212864.000000000 10000.000000000 -4837485141115180443987720932425728.000000000 4189385022635495832364052629159936.000000000         1.321626e+34
  127   -0.000000000 2418742570557590221993860466212864.000000000 -2418742570557590221993860466212864.000000000 -5924685117013833888161422452457472.000000000 4189385022635495832364052629159936.000000000 10000.000000000 8378770045270991664728105258319872.000000000 -7256227711672769801290452943503360.000000000         2.289123e+34
  128   -0.000000000 -4189385022635495832364052629159936.000000000 4189385022635495832364052629159936.000000000 10261855641515118487421749907423232.000000000 -7256227711672769801290452943503360.000000000 10000.000000000 -14512455423345539602580905887006720.000000000 12568155067906486344170653280632832.000000000         3.964877e+34
  129   -0.000000000 7256227711672769801290452943503360.000000000 -7256227711672769801290452943503360.000000000 -17774055351041498205719753536831488.000000000 12568155067906486344170653280632832.000000000 10000.000000000 25136310135812972688341306561265664.000000000 -21768683135018307098028349616816128.000000000         6.867368e+34
  130   -0.000000000 -12568155067906486344170653280632832.000000000 12568155067906486344170653280632832.000000000 30785566924545352003500735901728768.000000000 -21768683135018307098028349616816128.000000000 10000.000000000 -43537366270036614196056699233632256.000000000 37704465203719454420825941414510592.000000000         1.189463e+35
  131   -0.000000000 21768683135018307098028349616816128.000000000 -21768683135018307098028349616816128.000000000 -53322166053124492311316251396800512.000000000 37704465203719454420825941414510592.000000000 10000.000000000 75408930407438908841651882829021184.000000000 -65306049405054912070713011995672576.000000000         2.060210e+35
  132   -0.000000000 -37704465203719454420825941414510592.000000000 37704465203719454420825941414510592.000000000 92356700773636037563758133995634688.000000000 -65306049405054912070713011995672576.000000000 10000.000000000 -130612098810109805694681950281793536.000000000 113113395611158344815733750533980160.000000000         3.568389e+35
  133-9223372036854775808.000000000 65306049405054902847340975140896768.000000000 -65306049405054902847340975140896768.000000000 -159966498159373449263832643626074112.000000000 113113395611158344815733750533980160.000000000 10000.000000000 226226791222316689631467501067960320.000000000 -195918148215164717765394962277466112.000000000         6.180631e+35
  134   -0.000000000 -113113395611158344815733750533980160.000000000 113113395611158344815733750533980160.000000000 277070102320908094244530328277352448.000000000 -195918148215164717765394962277466112.000000000 10000.000000000 -391836296430329435530789924554932224.000000000 339340186833474997553713104182837248.000000000         1.070517e+36
